Company Name,Date Folder,Status,Address,Phone,Owner,Notes
Nothing Fancy Lawn Service & Pressure Washing,2026-07-13,Ready to pitch,"3315 9th Ave N / 104 Michael St, Pell City, AL 35125",(205) 571-5257,Tyler Etress,Prior audit PASS. Unchanged this run.
Rhonda's Cut & Style Barber Shop,2026-08-02,Ready to pitch,"1818 Cogswell Ave, Pell City, AL 35125",(205) 966-4170,Rhonda,Prior audit PASS. Unchanged this run.
Extreme Detailing LLC,2026-08-07,Ready to pitch,"1809 1st Ave S, Pell City, AL 35125",(205) 492-2709,Dan Baker,Prior audit PASS. Unchanged this run.
Graham & Sons Plumbing,2026-08-08,Ready to pitch,"25 Callahan Ln, Pell City, AL 35125",(205) 338-3463,Chester Graham,Prior audit PASS. Unchanged this run.
Blast From the Past Barber,2026-08-08,Ready to pitch,"14370 US Highway 411, Odenville, AL 35120",(205) 629-0446,,Prior audit PASS. Unchanged this run.
AM5 Auto,2026-07-07,Ready to pitch,"28 McLain Avenue, Lincoln, AL 35096",(205) 763-2329,Adam Holtman,Prior audit PASS. Unchanged this run.
Chad's Plumbing & Drain Cleaning,2026-07-14,Ready to pitch,"1740 Spring Hill Rd, Talladega, AL 35160",(205) 281-4321,Chad Purgahn,Prior audit PASS. Unchanged this run.
Hammonds Body Shop,2026-07-18,Ready to pitch,"80 Cogswell Ave, Pell City, AL 35125",(205) 338-4563,Jimmy Hammond,Prior audit PASS. Unchanged this run.
Mashburn Plumbing,2026-07-04,Ready to pitch,"11155 AL Highway 174, Odenville, AL 35120",(205) 296-9217,Joseph D. Mashburn,Prior audit PASS. Unchanged this run.
A Cleaning Company,2026-08-11,Ready to pitch,"PO Box 74, Pell City, AL",(205) 227-8515,,Prior audit PASS. Unchanged this run.
Pell City Pressure Washing,2026-08-11,Ready to pitch,Serving Pell City AL,205-410-5095,,Prior audit PASS. Unchanged this run.
A Nail Shop,2026-08-01,Ready to pitch,"1023 Martin St S, Pell City, AL 35128",(205) 338-3695,Vo/Dung,Prior audit PASS. Unchanged this run.
PELL City Alterations,2026-08-13,Ready to pitch,Pell City AL,(205) 473-4126,,Prior audit PASS. Unchanged this run.
U.G. Clothing Boutique (Uptown Girls),2026-07-23,Ready to pitch,"1800 Cogswell Ave, Pell City, AL 35125",(205) 814-1589,Virginia / Kala,Prior audit PASS. Unchanged this run.
Thee Spot Detail and Car Wash,2026-08-11,Ready to pitch,"7 18th Street South, Pell City, AL 35125",(256) 770-1466,Warren Montgomery Sr.,Prior audit PASS. Unchanged this run.
Groomer Has It,2026-08-15,Ready to pitch,"2247 Martin St S, Pell City, AL 35128",(205) 863-3293,Diana M.,Prior audit PASS. Unchanged this run.
Spuddy’s Suds and Detail,2026-08-14,Needs work,"19249 Hwy 231 N, Pell City, AL 35125",(205) 753-3087,,Prior audit FAIL 2026-08-15. Unchanged this run.
Boutique for Kim / Twice Blessed Boutique,2026-07-04,Draft complete – needs polish,"2635 Martin St S, Pell City, AL 35128",,Kim Isbell,Unchanged this run — duplicate of Twice Blessed.
Executive Cleaning Services LLC,2026-08-16,Ready for audit,Pell City AL (service area),(205) 405-5415,Michael (FB),Unchanged this run.
Red Hill Farms-Phillips Family,2026-07-04,Ready to pitch,"5514 Stemley Bridge Road, Pell City, AL 35128",(205) 352-8803,Tiffeny Phillips Robertson / Lonnie Phillips,Prior audit PASS. Unchanged this run.
BFIT Bakery,2026-07-02,Ready to pitch,"Pell City / Eden, AL (home kitchen)",(850) 206-3488,Anna Warren,Prior audit PASS. Unchanged this run.
Elegant Nail,2026-08-17,Shortlisted,"2120 2nd Ave N, Pell City, AL 35125",(205) 814-6068,,Unchanged this run.
Jazz'm Up Pet Salon,2026-08-17,Shortlisted,"1607 Martin St S Suite 1, Pell City, AL 35128",(205) 884-7387,,Unchanged this run.
Dogville USA,2026-08-17,Shortlisted,"2400 Cogswell Ave, Pell City, AL 35125",(205) 505-1045,,Unchanged this run.
The Detail Dudes,2026-08-17,Shortlisted,"18555 US-231, Pell City, AL 35125",(205) 927-4463,,Unchanged this run.
Melissa's Rainbow Express Carwash,2026-08-17,Shortlisted,"50 Vaughan Ln, Pell City, AL 35125",(205) 338-2163,,Unchanged this run.
HTRC Inc,2026-08-17,Shortlisted,"2105 Martin St S, Pell City, AL 35128",(205) 814-1911,,Unchanged this run.
Faded by Bobo,2026-08-16,Shortlisted,"2111 Cogswell Avenue, Pell City, AL 35128",(205) 362-9025,,Unchanged this run.
The HoneyComb Salon,2026-08-16,Shortlisted,"311 26th St N, Pell City, AL 35125",,,Unchanged this run.
Tru Colors Hair Salon,2026-08-16,Shortlisted,"2107 Martin Street South Suite 104, Pell City, AL 35128",(205) 222-0934,,Unchanged this run.
Snips N Clipz,2026-08-16,Shortlisted,"2409 3rd Ave N, Pell City, AL 35125",(205) 338-4900,,Unchanged this run.
